votes,naive_100pct,wilson_100pct,naive_95pct,wilson_95pct
154,1.0,0.9757,0.9481,0.9008
155,1.0,0.9758,0.9484,0.9015
156,1.0,0.976,0.9487,0.9021
157,1.0,0.9761,0.949,0.9027
158,1.0,0.9763,0.9494,0.9033
159,1.0,0.9764,0.9497,0.9039
160,1.0,0.9766,0.95,0.9044
161,1.0,0.9767,0.9503,0.905
162,1.0,0.9768,0.9506,0.9056
163,1.0,0.977,0.9509,0.9062
164,1.0,0.9771,0.9512,0.9067
165,1.0,0.9772,0.9515,0.9073
166,1.0,0.9774,0.9518,0.9078
167,1.0,0.9775,0.9521,0.9083
168,1.0,0.9776,0.9524,0.9089
169,1.0,0.9778,0.9527,0.9094
170,1.0,0.9779,0.9529,0.9099
171,1.0,0.978,0.9474,0.903
172,1.0,0.9782,0.9477,0.9036
173,1.0,0.9783,0.948,0.9041
174,1.0,0.9784,0.9483,0.9046
175,1.0,0.9785,0.9486,0.9052
176,1.0,0.9786,0.9489,0.9057
177,1.0,0.9788,0.9492,0.9062
178,1.0,0.9789,0.9494,0.9067
179,1.0,0.979,0.9497,0.9072
180,1.0,0.9791,0.95,0.9077
181,1.0,0.9792,0.9503,0.9082
182,1.0,0.9793,0.9505,0.9087
183,1.0,0.9794,0.9508,0.9092
184,1.0,0.9795,0.9511,0.9097
185,1.0,0.9797,0.9514,0.9101
186,1.0,0.9798,0.9516,0.9106
187,1.0,0.9799,0.9519,0.9111
188,1.0,0.98,0.9521,0.9115
189,1.0,0.9801,0.9524,0.912
190,1.0,0.9802,0.9474,0.9058
191,1.0,0.9803,0.9476,0.9063
192,1.0,0.9804,0.9479,0.9068
193,1.0,0.9805,0.9482,0.9073
194,1.0,0.9806,0.9485,0.9077
195,1.0,0.9807,0.9487,0.9082
196,1.0,0.9808,0.949,0.9086
197,1.0,0.9809,0.9492,0.9091
198,1.0,0.981,0.9495,0.9095
199,1.0,0.9811,0.9497,0.91
200,1.0,0.9812,0.95,0.9104
