Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784162022,100,,Aggregated,68.000000,0.000000,13,16,19,23,54,80,190,300,430,620,620,1943,0,13,25.645455635636033,2.6550000184215605,618.1482000101823,10537.564590838909
1784162023,100,,Aggregated,67.000000,0.000000,12,15,18,23,53,78,180,290,420,620,620,2009,0,12,25.244908661036526,2.6550000184215605,618.1482000101823,10530.261324041812
1784162024,100,,Aggregated,67.700000,0.000000,12,15,18,22,52,78,180,290,420,620,620,2074,0,12,24.93241986498879,2.6550000184215605,618.1482000101823,10516.421407907425
1784162025,100,,Aggregated,67.800000,0.000000,12,15,18,22,52,77,180,270,420,620,620,2138,1,12,24.72886047700376,2.1207999961916357,618.1482000101823,10496.408325537886
1784162026,100,,Aggregated,67.000000,0.000000,12,15,18,22,50,76,180,270,420,620,620,2209,1,12,24.568792847457356,2.1207999961916357,618.1482000101823,10496.988229968312
1784162027,100,,Aggregated,67.300000,0.100000,12,15,18,21,50,76,180,270,420,620,620,2277,1,12,24.358037944672365,2.1207999961916357,618.1482000101823,10497.327184892401
1784162028,100,,Aggregated,67.500000,0.100000,12,15,18,21,49,76,180,270,420,620,620,2340,1,12,24.16293076921103,2.1207999961916357,618.1482000101823,10432.884188034188
1784162029,100,,Aggregated,66.900000,0.100000,12,15,18,22,49,76,180,280,470,620,620,2414,1,12,24.591536619694704,2.1207999961916357,618.1482000101823,10492.794531897265
1784162030,100,,Aggregated,67.400000,0.100000,12,15,18,22,48,75,180,280,470,620,620,2484,1,12,24.422468196431677,2.1207999961916357,618.1482000101823,10510.010064412238
1784162031,100,,Aggregated,67.900000,0.100000,12,15,18,21,47,75,180,270,470,620,620,2542,1,12,24.14967470495666,2.1207999961916357,618.1482000101823,10497.820613690008
1784162032,100,,Aggregated,67.100000,0.100000,12,15,18,21,48,74,180,270,470,620,620,2615,1,12,24.066994225706043,2.1207999961916357,618.1482000101823,10479.516634799234
1784162033,100,,Aggregated,67.100000,0.100000,12,15,18,21,46,74,180,270,470,620,620,2681,1,12,23.977120179110315,2.1207999961916357,618.1482000101823,10447.274524431183
1784162034,100,,Aggregated,67.000000,0.100000,12,15,18,22,46,75,180,280,470,620,620,2755,1,12,24.21464105277194,2.1207999961916357,618.1482000101823,10473.790199637024
1784162035,100,,Aggregated,66.500000,0.100000,12,15,18,21,46,74,180,280,470,620,620,2820,1,12,24.091038829894696,2.1207999961916357,618.1482000101823,10467.971985815602
1784162036,100,,Aggregated,66.600000,0.100000,12,15,18,21,44,74,180,280,470,620,620,2884,1,12,23.865430513272532,2.1207999961916357,618.1482000101823,10458.455963938974
1784162037,100,,Aggregated,67.900000,0.000000,12,15,18,21,44,73,180,280,470,620,620,2943,1,12,23.723413489730568,2.1207999961916357,618.1482000101823,10469.535507985049
1784162038,100,,Aggregated,66.200000,0.000000,12,15,18,21,44,74,180,280,430,620,620,3016,1,12,23.870506996137742,2.1207999961916357,618.1482000101823,10520.825928381963
1784162039,100,,Aggregated,66.800000,0.000000,12,15,18,21,43,74,180,300,430,620,620,3071,1,12,24.069541061640276,2.1207999961916357,618.1482000101823,10573.586779550635
1784162040,100,,Aggregated,65.600000,0.000000,12,15,18,21,42,74,180,300,430,620,620,3142,1,12,23.862328962571112,2.1207999961916357,618.1482000101823,10566.02928071292
1784162041,100,,Aggregated,65.400000,0.000000,12,15,18,21,42,74,170,290,430,620,620,3214,1,12,23.733253204815398,2.1207999961916357,618.1482000101823,10548.162103298071
1784162042,100,,Aggregated,65.100000,0.000000,12,15,18,21,42,73,170,300,430,620,620,3273,1,12,23.728928842119135,2.1207999961916357,618.1482000101823,10560.831958447907
1784162043,100,,Aggregated,65.500000,0.000000,12,15,18,21,44,75,180,290,430,620,620,3347,2,12,24.087748640679976,1.819099998101592,618.1482000101823,10561.960860472065
1784162044,100,,Aggregated,66.000000,0.000000,12,15,18,21,44,75,180,300,430,620,620,3399,2,12,24.285157899487427,1.819099998101592,618.1482000101823,10598.994704324801
1784162045,100,,Aggregated,66.400000,0.000000,13,16,19,22,52,84,240,320,470,640,640,3460,2,13,26.70845239894428,1.819099998101592,644.1787000221666,10593.161849710983
1784162046,100,,Aggregated,66.500000,0.100000,13,16,19,23,61,110,280,340,800,1100,1100,3535,2,13,30.135024356505276,1.819099998101592,1100.1061999995727,10579.153889674682
1784162047,100,,Aggregated,65.200000,0.100000,13,16,19,23,63,120,280,340,800,1100,1100,3600,2,13,30.547160222275934,1.819099998101592,1100.1061999995727,10591.139166666666
1784162048,100,,Aggregated,64.600000,0.100000,13,16,19,23,64,120,280,350,800,1100,1100,3653,2,13,30.81948165893973,1.819099998101592,1100.1061999995727,10583.865316178484
1784162049,100,,Aggregated,64.800000,0.100000,13,16,20,24,67,150,300,360,800,1100,1100,3725,2,13,32.49038311411414,1.819099998101592,1100.1061999995727,10567.751409395973
1784162050,100,,Aggregated,65.800000,0.100000,13,16,20,24,67,150,290,360,800,1100,1100,3793,2,13,32.32925043503445,1.819099998101592,1100.1061999995727,10586.874769311891
1784162051,100,,Aggregated,65.200000,0.100000,13,16,19,24,66,150,290,360,800,1100,1100,3855,2,13,31.993347782117404,1.819099998101592,1100.1061999995727,10561.640985732814
